open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672531200000,0.2458,0.25,0.2434,0.2499,49487029.5,1672617599999,12195300.86294,26077,26260163.2,6472306.00912,0
1672617600000,0.2499,0.2565,0.2466,0.2538,75458284.6,1672703999999,19077666.03478,41366,39026007.3,9868596.14302,0
1672704000000,0.2538,0.2555,0.2502,0.2529,71671057.1,1672790399999,18118088.32028,35667,34921017.9,8830214.00656,0
1672790400000,0.2529,0.2708,0.2518,0.2678,148810996.5,1672876799999,39307216.21345,81093,77143345.9,20391284.27607,0
1672876800000,0.2678,0.2713,0.2633,0.2692,81943632.6,1672963199999,21875835.63976,50246,41577762.6,11102597.5766,0
1672963200000,0.2692,0.2798,0.2671,0.2786,171198727.6,1673049599999,46709200.59142,91513,85435452.4,23313758.01995,0
1673049600000,0.2785,0.2806,0.2723,0.2768,72623368.2,1673135999999,20043246.99803,43840,34331752.9,9475851.34513,0
1673136000000,0.2768,0.299,0.2742,0.2974,196047722.8,1673222399999,56211406.76293,115112,102786505.6,29481600.7278,0
1673222400000,0.2975,0.346,0.2955,0.3168,405177005.9,1673308799999,130535883.67986,289600,204970775.8,66028132.55723,0
1673308800000,0.3168,0.3253,0.3063,0.3222,184082448.1,1673395199999,58443335.34537,111866,92508102.6,29379189.34868,0
1673395200000,0.3222,0.3235,0.3075,0.323,144048586.5,1673481599999,45390642.8338,93951,71986686.4,22683947.26887,0
1673481600000,0.323,0.3351,0.3154,0.3293,248440812.5,1673567999999,80984073.16599,160006,126294016.4,41172653.23987,0
1673568000000,0.3293,0.3509,0.3237,0.3456,150546494.0,1673654399999,50290558.79069,132896,75438244.8,25211615.56371,0
1673654400000,0.3455,0.3697,0.332,0.3525,288977177.5,1673740799999,102311533.60626,269368,145077040.5,51391276.53754,0
1673740800000,0.3526,0.3539,0.3385,0.3507,132983094.3,1673827199999,46120700.65588,111654,65033920.6,22558338.22857,0
1673827200000,0.3508,0.364,0.3376,0.3504,156864828.5,1673913599999,55154485.19975,135456,77392992.8,27219905.33959,0
1673913600000,0.3505,0.3576,0.343,0.3455,101591352.2,1673999999999,35648563.00154,96893,48489980.6,17018564.99565,0
1674000000000,0.3455,0.3555,0.3237,0.3264,170018857.2,1674086399999,57705260.14865,158161,79570251.9,27001317.79739,0
1674086400000,0.3264,0.343,0.3255,0.3379,80228314.7,1674172799999,26780825.48138,72624,39016752.2,13024231.14447,0
1674172800000,0.338,0.3657,0.3336,0.3652,130767450.6,1674259199999,45603264.59433,114788,65123062.0,22716523.03645,0
1674259200000,0.3651,0.3807,0.3569,0.3687,228951787.0,1674345599999,84320415.92165,195678,112872294.5,41556323.20503,0
1674345600000,0.3686,0.3872,0.3629,0.3764,205382044.0,1674431999999,77558380.58987,184535,99553566.7,37602866.43679,0
1674432000000,0.3764,0.3836,0.3687,0.375,168920181.8,1674518399999,63438244.67728,147715,81879022.1,30760516.00165,0
1674518400000,0.375,0.383,0.3552,0.3587,111749419.5,1674604799999,41728216.60846,107485,53848740.9,20115308.60898,0
1674604800000,0.3588,0.3797,0.3469,0.3732,125501560.2,1674691199999,45186532.4045,122744,59116298.6,21301588.09424,0
1674691200000,0.3733,0.3892,0.3711,0.3796,152020632.1,1674777599999,57639690.96446,134337,75092935.7,28485506.60354,0
1674777600000,0.3796,0.391,0.3678,0.3898,112713613.3,1674863999999,42795611.93104,104457,55291962.1,21010385.06595,0
1674864000000,0.3898,0.398,0.378,0.3819,119208593.2,1674950399999,46208585.48443,108375,58676329.6,22741508.95489,0
1674950400000,0.3818,0.3991,0.3768,0.3975,102929204.6,1675036799999,40157767.99062,99708,52194606.1,20373516.36885,0
1675036800000,0.3976,0.3982,0.3652,0.3725,134336665.0,1675123199999,51134971.00427,124556,61467635.2,23401299.29,0
1675123200000,0.3725,0.3998,0.3681,0.3902,156301183.0,1675209599999,59967794.67052,136857,77326666.9,29674233.67157,0
1675209600000,0.3902,0.4018,0.371,0.397,162998963.9,1675295999999,62784020.14042,176466,80927462.5,31198496.73249,0
1675296000000,0.397,0.4136,0.3921,0.3981,179215658.3,1675382399999,72380820.23897,185499,88934062.1,35929726.81432,0
1675382400000,0.3981,0.407,0.3944,0.4038,112231580.7,1675468799999,45021086.33001,110403,55478843.7,22252425.40832,0
1675468800000,0.4037,0.4055,0.3975,0.3994,69665961.0,1675555199999,28001934.44779,67191,33519331.1,13473213.28057,0
1675555200000,0.3993,0.4019,0.3821,0.3923,104454046.0,1675641599999,40964679.72236,99821,49438702.0,19385442.12962,0
1675641600000,0.3923,0.4033,0.3795,0.3823,110247851.9,1675727999999,43173103.61455,103365,54205265.7,21242299.99024,0
1675728000000,0.3823,0.3998,0.3814,0.3989,107246776.8,1675814399999,41771566.35595,104067,54890952.0,21395306.38199,0
1675814400000,0.3989,0.4035,0.3853,0.3942,92872527.4,1675900799999,36786726.66031,89570,45702981.4,18104835.21021,0
1675900800000,0.3942,0.3957,0.3543,0.3622,151503834.4,1675987199999,57086936.96953,147128,72325490.7,27259377.19044,0
1675987200000,0.3622,0.3656,0.3534,0.3581,104289819.1,1676073599999,37588836.43568,101653,50105196.1,18063652.88862,0
1676073600000,0.358,0.3702,0.3567,0.3684,55904954.9,1676159999999,20214834.50522,53308,26913298.0,9736499.46201,0
1676160000000,0.3685,0.3738,0.3596,0.3641,57416092.2,1676246399999,21128707.77172,60634,28403827.9,10454436.1999,0
1676246400000,0.3641,0.3657,0.345,0.3593,114427322.0,1676332799999,40573133.72658,113480,53431788.2,18951972.47123,0
1676332800000,0.3593,0.3931,0.3545,0.3867,156990175.9,1676419199999,58628401.20211,149699,82589661.1,30859079.29432,0
1676419200000,0.3868,0.42,0.3819,0.419,151591225.3,1676505599999,59778979.44605,154132,82923592.9,32705015.23449,0
1676505600000,0.419,0.4213,0.3862,0.3874,174768994.0,1676591999999,70700360.39255,178497,84267748.8,34116379.58747,0
1676592000000,0.3874,0.4098,0.3854,0.4033,123524213.6,1676678399999,49269938.14967,122095,62058671.2,24747451.94108,0
1676678400000,0.4033,0.4184,0.3976,0.406,89590271.5,1676764799999,36365358.17068,84846,45868526.3,18613623.49162,0
1676764800000,0.406,0.4122,0.3968,0.3995,98181230.1,1676851199999,39725311.70805,108949,45484690.9,18406188.83204,0
1676851200000,0.3994,0.4098,0.3893,0.4038,116906377.7,1676937599999,47218475.77844,115745,57874925.7,23378181.95623,0
1676937600000,0.4037,0.4059,0.3855,0.3925,119823429.0,1677023999999,47413672.78624,110747,57083255.3,22597573.17159,0
1677024000000,0.3926,0.3929,0.3769,0.3888,123152287.0,1677110399999,47282477.88503,111822,59787851.5,22951709.94963,0
1677110400000,0.3889,0.3949,0.3794,0.3824,81228997.5,1677196799999,31463531.76665,83429,39421496.5,15271469.52866,0
